// sample: {time(ms),pitch(deg),pitch_spd(rad/s),yaw(deg),yaw_spd(rad/s)},
{
{314, 0.0f, 0.0f, -4.888085f, 1.179515f},
{316, 0.0f, 0.0f, -4.752360f, 1.189291f},
{318, 0.0f, 0.0f, -4.615530f, 1.198799f},
{320, 0.0f, 0.0f, -4.477626f, 1.208034f},
{322, 0.0f, 0.0f, -4.338680f, 1.216990f},
{324, 0.0f, 0.0f, -4.198724f, 1.225663f},
{326, 0.0f, 0.0f, -4.057790f, 1.234047f},
{328, 0.0f, 0.0f, -3.915912f, 1.242137f},
{330, 0.0f, 0.0f, -3.773124f, 1.249929f},
{332, 0.0f, 0.0f, -3.629461f, 1.257419f},
{334, 0.0f, 0.0f, -3.484957f, 1.264601f},
{336, 0.0f, 0.0f, -3.339648f, 1.271471f},
{338, 0.0f, 0.0f, -3.193569f, 1.278026f},
{340, 0.0f, 0.0f, -3.046758f, 1.284262f},
{342, 0.0f, 0.0f, -2.899251f, 1.290173f},
{344, 0.0f, 0.0f, -2.751085f, 1.295758f},
{346, 0.0f, 0.0f, -2.602298f, 1.301012f},
{348, 0.0f, 0.0f, -2.452928f, 1.305933f},
{350, 0.0f, 0.0f, -2.303013f, 1.310516f},
{352, 0.0f, 0.0f, -2.152592f, 1.314760f},
{354, 0.0f, 0.0f, -2.001705f, 1.318662f},
{356, 0.0f, 0.0f, -1.850391f, 1.322219f},
{358, 0.0f, 0.0f, -1.698688f, 1.325429f},
{360, 0.0f, 0.0f, -1.546638f, 1.328290f},
{362, 0.0f, 0.0f, -1.394280f, 1.330800f},
{364, 0.0f, 0.0f, -1.241655f, 1.332958f},
{366, 0.0f, 0.0f, -1.088802f, 1.334762f},
{368, 0.0f, 0.0f, -0.935764f, 1.336211f},
{370, 0.0f, 0.0f, -0.782579f, 1.337304f},
{372, 0.0f, 0.0f, -0.629290f, 1.338040f},
{374, 0.0f, 0.0f, -0.475937f, 1.338420f},
{376, 0.0f, 0.0f, -0.322560f, 1.338442f},
{378, 0.0f, 0.0f, -0.169202f, 1.338107f},
{380, 0.0f, 0.0f, -0.015902f, 1.337415f},
{382, 0.0f, 0.0f, 0.137297f, 1.336367f},
{384, 0.0f, 0.0f, 0.290357f, 1.334962f},
{386, 0.0f, 0.0f, 0.443235f, 1.333203f},
{388, 0.0f, 0.0f, 0.595891f, 1.331089f},
{390, 0.0f, 0.0f, 0.748284f, 1.328623f},
{392, 0.0f, 0.0f, 0.900375f, 1.325806f},
{394, 0.0f, 0.0f, 1.052123f, 1.322639f},
{396, 0.0f, 0.0f, 1.203488f, 1.319126f},
{398, 0.0f, 0.0f, 1.354431f, 1.315267f},
{400, 0.0f, 0.0f, 1.504912f, 1.311066f},
{402, 0.0f, 0.0f, 1.654892f, 1.306524f},
{404, 0.0f, 0.0f, 1.804332f, 1.301646f},
{406, 0.0f, 0.0f, 1.953194f, 1.296433f},
{408, 0.0f, 0.0f, 2.101440f, 1.290889f},
{410, 0.0f, 0.0f, 2.249032f, 1.285018f},
{412, 0.0f, 0.0f, 2.395932f, 1.278823f},
{414, 0.0f, 0.0f, 2.542104f, 1.272308f},
{416, 0.0f, 0.0f, 2.687511f, 1.265477f},
{418, 0.0f, 0.0f, 2.832118f, 1.258333f},
{420, 0.0f, 0.0f, 2.975888f, 1.250882f},
{422, 0.0f, 0.0f, 3.118787f, 1.243128f},
{424, 0.0f, 0.0f, 3.260781f, 1.235074f},
{426, 0.0f, 0.0f, 3.401834f, 1.226726f},
{428, 0.0f, 0.0f, 3.541915f, 1.218090f},
{430, 0.0f, 0.0f, 3.680989f, 1.209169f},
{432, 0.0f, 0.0f, 3.819025f, 1.199968f},
{434, 0.0f, 0.0f, 3.955991f, 1.190494f},
{436, 0.0f, 0.0f, 4.091856f, 1.180752f},
{438, 0.0f, 0.0f, 4.226474f, 1.154745f},
{440, 0.0f, 0.0f, 4.349631f, 0.994745f},
{442, 0.0f, 0.0f, 4.454453f, 0.834745f},
{444, 0.0f, 0.0f, 4.540941f, 0.674745f},
{446, 0.0f, 0.0f, 4.609093f, 0.514745f},
{448, 0.0f, 0.0f, 4.658911f, 0.354745f},
{450, 0.0f, 0.0f, 4.690395f, 0.194745f},
{452, 0.0f, 0.0f, 4.703544f, 0.034745f},
{454, 0.0f, 0.0f, 4.698358f, -0.125255f},
{456, 0.0f, 0.0f, 4.674837f, -0.285255f},
{458, 0.0f, 0.0f, 4.632982f, -0.445255f},
{460, 0.0f, 0.0f, 4.572792f, -0.605255f},
{462, 0.0f, 0.0f, 4.494268f, -0.765255f},
{464, 0.0f, 0.0f, 4.397409f, -0.925255f},
{466, 0.0f, 0.0f, 4.282215f, -1.085255f},
{468, 0.0f, 0.0f, 4.148687f, -1.245255f},
{470, 0.0f, 0.0f, 3.996823f, -1.405255f},
{472, 0.0f, 0.0f, 3.826626f, -1.565255f},
{474, 0.0f, 0.0f, 3.638093f, -1.725255f},
{476, 0.0f, 0.0f, 3.431226f, -1.885255f},
{478, 0.0f, 0.0f, 3.206025f, -2.045255f},
{480, 0.0f, 0.0f, 2.962488f, -2.205255f},
{482, 0.0f, 0.0f, 2.700617f, -2.365255f},
{484, 0.0f, 0.0f, 2.420412f, -2.525255f},
{486, 0.0f, 0.0f, 2.121872f, -2.685255f},
{488, 0.0f, 0.0f, 1.804997f, -2.845255f},
{490, 0.0f, 0.0f, 1.469787f, -3.005255f},
{492, 0.0f, 0.0f, 1.116243f, -3.165255f},
{494, 0.0f, 0.0f, 0.744364f, -3.325255f},
{496, 0.0f, 0.0f, 0.354151f, -3.485255f},
{498, 0.0f, 0.0f, -0.054398f, -3.645255f},
{500, 0.0f, 0.0f, -0.481280f, -3.805255f},
{502, 0.0f, 0.0f, -0.908879f, -3.651922f},
{504, 0.0f, 0.0f, -1.318191f, -3.491922f},
{506, 0.0f, 0.0f, -1.709169f, -3.331922f},
{508, 0.0f, 0.0f, -2.081811f, -3.171922f},
{510, 0.0f, 0.0f, -2.436119f, -3.011922f},
{512, 0.0f, 0.0f, -2.772093f, -2.851922f},
{514, 0.0f, 0.0f, -3.089732f, -2.691922f},
{516, 0.0f, 0.0f, -3.389036f, -2.531922f},
{518, 0.0f, 0.0f, -3.670005f, -2.371922f},
{520, 0.0f, 0.0f, -3.932640f, -2.211922f},
{522, 0.0f, 0.0f, -4.176940f, -2.051922f},
{524, 0.0f, 0.0f, -4.402906f, -1.891922f},
{526, 0.0f, 0.0f, -4.610537f, -1.731922f},
{528, 0.0f, 0.0f, -4.799833f, -1.571922f},
{530, 0.0f, 0.0f, -4.970795f, -1.411922f},
{532, 0.0f, 0.0f, -5.123421f, -1.251922f},
{534, 0.0f, 0.0f, -5.257714f, -1.091922f},
{536, 0.0f, 0.0f, -5.373671f, -0.931922f},
{538, 0.0f, 0.0f, -5.471294f, -0.771922f},
{540, 0.0f, 0.0f, -5.550583f, -0.611922f},
{542, 0.0f, 0.0f, -5.611536f, -0.451922f},
{544, 0.0f, 0.0f, -5.654155f, -0.291922f},
{546, 0.0f, 0.0f, -5.678440f, -0.131922f},
{548, 0.0f, 0.0f, -5.684390f, 0.028078f},
{550, 0.0f, 0.0f, -5.672005f, 0.188078f},
{552, 0.0f, 0.0f, -5.641285f, 0.348078f},
{554, 0.0f, 0.0f, -5.592231f, 0.508078f},
{556, 0.0f, 0.0f, -5.524842f, 0.668078f},
{558, 0.0f, 0.0f, -5.439119f, 0.828078f},
{560, 0.0f, 0.0f, -5.335060f, 0.988078f},
{562, 0.0f, 0.0f, -5.212668f, 1.148078f},
{564, 0.0f, 0.0f, -5.076497f, 1.199096f},
{566, 0.0f, 0.0f, -4.938528f, 1.208872f},
{568, 0.0f, 0.0f, -4.799454f, 1.218380f},
{570, 0.0f, 0.0f, -4.659306f, 1.227614f},
{572, 0.0f, 0.0f, -4.518116f, 1.236571f},
{574, 0.0f, 0.0f, -4.375916f, 1.245243f},
